word, pinyin, definition
詞彙
出生
國
不同
地址
市
傳真
留言
日期
時間
鐘頭
晚
夜
禮拜
禮拜天
前天
後天
從前
夏
冬
秋
春
一會兒
不久
剛剛
剛才
當然
自己
別人
年紀
男人
女人
大人
老人
習慣
習慣 
家庭
父親
母親
父母
爺爺
奶奶
關係
教堂
好 
真 
最
更
愉快
開心
著急
擔心
生氣
怕
哭
難過
傷心
美
美麗
聰明
認真
勇敢
禮貌
害羞
應該
相信
經驗 
關心
辛苦
願意
心情
幸福
可憐
差
職業
教師
經理
記者
服務員
服務生
顧客
教書
開會
下班
危險
安全
安全 
成功
報告
報告 
打算
機會
當
如果
劃
計畫
努力
管理
學院
小學生
大學生
同學
校長
放假
畢業
開學
成績
學期
學費
暑假
寒假
服務
宿舍
操場
校園
中文
文化
語法
漢語
書法
班
班 
書桌
課
字典
漢字
鉛筆
尺
毛筆
教
講
講話
告訴
念
唸
練習 
討論
認為
解釋
同意
了解
瞭解
清楚
無聊
決定
遍
交
借
算
對
錯
辦法
方法
有用
進步
忘
記
公寓
大樓
臥室
花園
門口
浴室
樓梯
牆
洗衣機
冰箱
燈
打開
盒子
鄰居
熱鬧
吵
滿意
乾淨
房租
租
開水
鄉下
森林
地
草
枝
隻
動物
牛
虎
羊
豬
月亮
星星
雲
地球
世界
環境
火
晴天
暖和
